"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"10358454"	"0.00509"	"1.96e-07"	"-1.35e+01"	"4.3773"	"-1.38"	"Rbm3"	"RNA binding motif protein 3"
"10603469"	"0.00509"	"2.86e-07"	"-1.29e+01"	"4.24228"	"-1.30"	"Rbm3"	"RNA binding motif protein 3"
"10556113"	"0.00546"	"4.61e-07"	"-1.22e+01"	"4.06259"	"-1.41"	"Rbm3"	"RNA binding motif protein 3"
"10535904"	"0.00844"	"9.50e-07"	"1.13e+01"	"3.76621"	"1.89"	"Hsph1"	"heat shock 105kDa/110kDa protein 1"
"10490946"	"0.03472"	"5.44e-06"	"9.21"	"2.93118"	"1.02"	"Hsp90aa1"	"heat shock protein 90, alpha (cytosolic), class A member 1"
"10514713"	"0.03472"	"5.86e-06"	"9.13"	"2.89184"	"9.48e-01"	"Wdr78"	"WD repeat domain 78"
"10531415"	"0.03973"	"7.82e-06"	"8.83"	"2.73562"	"1.50"	"Cxcl10"	"chemokine (C-X-C motif) ligand 10"
"10391146"	"0.04368"	"9.83e-06"	"8.59"	"2.60896"	"1.23"	"Acly"	"ATP citrate lyase"
"10497079"	"0.0521"	"1.32e-05"	"8.29"	"2.44138"	"1.25"	"Ptger3"	"prostaglandin E receptor 3 (subtype EP3)"
"10378848"	"0.05835"	"1.64e-05"	"8.08"	"2.31365"	"8.82e-01"	"Hsp90aa1"	"heat shock protein 90, alpha (cytosolic), class A member 1"
"10402615"	"0.07332"	"2.27e-05"	"7.77"	"2.11964"	"8.53e-01"	"Hsp90aa1"	"heat shock protein 90, alpha (cytosolic), class A member 1"
"10465604"	"0.11029"	"3.72e-05"	"7.31"	"1.81172"	"8.81e-01"	"Stip1"	"stress-induced phosphoprotein 1"
"10548194"	"0.11323"	"4.14e-05"	"7.21"	"1.74391"	"9.33e-01"	"Fkbp4"	"FK506 binding protein 4"
"10343263"	"0.12007"	"4.73e-05"	"-7.09"	"1.65832"	"-1.15"	""	""
